RowID,Page#,Paragraph#,keywords,Paragraph_text
11,11,1,"accessories, water tank, warm water, NOTE, 11 Functions, FIRST USE Machine Preparation Remove, all labeling and packaging  materials, your espresso machine","11 Functions BEFORE FIRST USE Machine Preparation Remove and discard all labeling and packaging  materials attached to your espresso machine.  Ensure you have removed all parts and  accessories before discarding the packaging. Remove the water tank located at the back of  the machine by lifting the water tank handle.  Remove the plastic bag containing the water  filter and water filter holder. Clean parts  and accessories (water tank, portafilter, filter  baskets, milk jug) using warm water and a  gentle dish washing liquid, then rinse and  dry thoroughly. Wipe the outer housing, bean  hopper and drip tray with a soft damp cloth  and dry thoroughly. Do not immerse the outer  housing, power cord or power plug in water or  any other liquid. NOTE All parts should be cleaned by hand using  warm water and a gentle dish washing liquid.  Do not use abrasive cleansers, pads or cloths  which can scratch the surface. Do not clean  any of the parts or accessories in the  dishwasher. NOTE To purchase water filters contact Breville  Consumer Support. Rinse water filter & mesh Soak water filter for 5 mins 1 2 Place filter into filter holder 3 Insert & lock water tank Install filter in water tank 5 Set date 2 months ahead 4 6 REPLACEMENT DUE"
12,12,1,"the machine, the water tank, water, NOTE, We, the hopper, position, 10 seconds","12 FIRST USE Initial Start Up •	 Ensure the water filter is securely fitted inside  the water tank. •	 Fill the water tank with cold, preferably  filtered water up to the MAX mark.  When replacing the water tank, ensure to  push down completely to lock into place. NOTE Always check the water level before use and  replace water daily. We recommend using  cold, filtered water. We do not recommend the  use of de-mineralized or distilled water or any  other liquid as this may affect the taste of the  espresso and how the machine is designed to  function. •	 Ensure the hopper is locked into position. •	 Plug the power cord into a 110/120V  power outlet. •	 Press the POWER button to switch the  machine on. The POWER button light will  flash while the machine is heating. NOTE If the hopper is not correctly locked into  position, the FILTER SIZE LED’s will flash. •	 A pumping sound will be heard.  This is normal.  •	 When the machine has reached the correct  operating temperature, the POWER button  light will stop flashing and all button lights  on the control panel will illuminate. The  machine is now in STANDBY mode, ready   for the next step ‘Flushing The Machine’.  Flushing the Machine It is recommended to complete a water  flushing operation, without ground coffee, to  ensure the machine has been conditioned. When the machine has reached STANDBY  mode, follow these steps: 1.	 Press 2 CUP button to run hot water  through the group head.  2.	 Position the steam wand tip over the drip  tray. Rotate the STEAM/HOT WATER  dial to the STEAM position and run steam  through the steam wand for 10 seconds. STEAM STANDBY HOT WATER 3.	 Rotate the STEAM/HOT WATER dial  to the HOT WATER position and run water  through the hot water outlet for 10 seconds. STEAM STANDBY HOT WATER 4.	 Repeat steps 1–3 until the water tank   is empty."
13,13,1,"the portafilter, the filter basket, the grind size, you, It, page, 13 GENERAL OPERATION, the Grind Size","13 GENERAL OPERATION Setting the Grind Size The grind size will affect the rate of water flow  through the coffee in the filter basket and the  flavor of the espresso. When setting the grind  size, it should be fine but not too fine and  powdery. There are numbered settings on the  GRIND SIZE selector. The smaller the number,  the finer the grind size. The larger the number,  the coarser the grind size. We recommend you  start at setting 5 and adjust as required. Setting the Grind Amount Set the GRIND AMOUNT dial to the   3 o’clock position as a starting point. Adjust  towards LESS or MORE as required to adjust  the dose amount so the metal cap on the  supplied tamper is level with the top edge of  the filter basket rim, AFTER tamping. TIPS It is normal that the GRIND SIZE selector  and GRIND AMOUNT dial will need to be  adjusted a few times to achieve the correct  extraction rate. Start with the suggested  settings, extract an espresso, then refer to the  Extraction Guide, page 22, to determine what  adjustments need to be made. Selecting the Filter Size Insert either the 1 CUP or 2 CUP filter basket  into the portafilter (see ‘Selecting a Filter  Basket’, page 19). Press the FILTER SIZE  button to select SINGLE if using the  1 CUP filter basket, or DOUBLE if using the  2 CUP filter basket. SINGLE FILTER SIZE DOUBLE Automatic Dosing •	 Ensure the hopper is locked into position and  is filled with fresh coffee beans. •	 Ensure the filter basket is completely dry  before placing the portafilter into the  grinding cradle. •	 Push and release the portafilter to engage the  grinding activation switch, then allow fresh  ground coffee to fill the portafilter.  •	 Grinding will automatically stop, however if  you wish to stop grinding before the cycle has  finished, push and release the portafilter. NOTE It is normal for the portafilter to appear  overfilled with ground coffee. Untamped coffee  is three times the volume of tamped coffee."
14,14,1,"the portafilter, you, This, the coffee, the filter  basket, pressure, the filter basket, trimming tool","14 Manual Dosing •	 If you prefer to manually dose, with the  portafilter inserted in the grinding cradle,  push and hold the portafilter to engage the  grinding activation switch. Continue holding  until the desired amount of ground coffee has  been dosed. •	 To stop grinding, release the portafilter.  This will release the grinding activation  switch and stop the grinding function. Tamping the Ground Coffee •	 Once grinding is complete, carefully  withdraw the portafilter from the grinding  cradle. •	 Tap the portafilter several times to collapse  and distribute the coffee evenly in the filter  basket. •	 Tamp down firmly using approx. 30–40lbs  (15–20kgs) of pressure. The amount of  pressure is not as important as consistent  pressure every time. •	 As a guide to dose, the top edge of the metal  cap on the tamper should be level with the  top of the filter basket AFTER the coffee has  been tamped. Trimming the Dose The Razor™ precision dose trimming tool  allows you to trim the puck to the right level for  a consistent extraction. the Razor™ Precision dose trimming tool •	 Insert the Razor™ dose trimming tool into  the filter basket until the shoulders of the tool  rest on the rim of the basket. The blade of  the dose trimming tool should penetrate the  surface of the tamped coffee. •	 Rotate the Razor™ dose trimming tool back  and forth while holding the portafilter on  an angle over a knock box to trim off excess  coffee grinds. Your filter basket is now dosed  with the correct amount of coffee. •	 Wipe excess coffee from the rim of the filter  basket to ensure a proper seal is achieved in  the group head. Purging the Group Head Before placing the portafilter into the group  head, run a short flow of water through the  group head by pressing the 1 CUP button.  This will stabilize the temperature prior to  extraction."
15,15,1,"The machine, espresso, the preset volume, 2 CUP button, the portafilter, the handle, approx, The extraction","15 Inserting the Portafilter Place the portafilter underneath the group head  so that the handle is aligned with the INSERT  position. Insert the portafilter into the group  head and rotate the handle towards the center  until resistance is felt. LOCK TIGHT Preset Shot Volume - 1 CUP button Press the 1 CUP button once to extract a single  shot of espresso at the preset volume (approx.  1oz / 30ml). The extraction will start using the  low pressure pre-infusion (see page 16).  The machine will stop after the preset volume  has been extracted. PROGRAM NOTE The amount of espresso extracted in the cup  will vary depending on your grind size and  grind amount settings. NOTE Pressing the 1 CUP or 2 CUP button during a  preset shot volume will immediately stop the  extraction. Preset Shot Volume - 2 CUP button Press the 2 CUP button once to extract a  double shot of espresso at the preset volume  (approx. 2oz / 60ml). The extraction will   start using the low pressure pre-infusion   (see page 16). The machine will stop after the  preset volume has been extracted. PROGRAM Re-Programming  Shot Volume - 1 CUP Button 1.	 To begin programming, press the  PROGRAM button once. The machine will  beep once and the PROGRAM button will  begin to flash. This indicates the machine is  in programming mode. 2.	 Press 1 CUP button to start espresso  extraction. Press 1 CUP button again  once desired volume of espresso has been  extracted. The machine will beep twice to  indicate the new 1 CUP volume has been  set. Re-Programming  Shot Volume - 2 CUP Button 1.	 To begin programming, press the  PROGRAM button once. The machine will  beep once and the PROGRAM button will  begin to flash. This indicates the machine is  in programming mode.  2.	 Press 2 CUP button to start espresso  extraction. Press 2 CUP button again  once desired volume of espresso has been  extracted. The machine will beep twice to  indicate the new 2 CUP volume has been set."
16,16,1,"approx, the machine, the 1 CUP, 2 CUP button, extraction, The gauge needle, 30ml, 60ml","16 Resetting Default Volumes To reset the machine to the default 1 CUP  and 2 CUP shot volumes, press and hold the  PROGRAM button until the machine beeps  three times. Release the PROGRAM button.  The machine will return to its original default  volume settings and default espresso water  temperature (see ‘Advanced Temperature  Mode’, page 18). NOTE Default settings: 1 CUP shot volume is approx.  1oz / 30ml. 2 CUP shot volume is approx.  2oz / 60ml. Manual Shot Volume Manually control low pressure pre-infusion  time and shot volume without re-programming  the presets shot volume. Press and hold the 1 CUP or 2 CUP button.  The extraction will enter low pressure  pre-infusion until the button is released.  When the 1 CUP or 2 CUP button is released,  extraction will continue at full pressure.  Press the 1 CUP or 2 CUP button again once  the desired volume of espresso has been  extracted. PROGRAM PRESS & HOLD NOTE For optimal flavor when using a 1 CUP filter  basket, you should extract approx. 1oz / 30ml.  When using a 2 CUP filter basket, you should  extract approx. 2oz / 60ml. ESPRESSO PRESSURE GAUGE Low Pressure Pre-Infusion The gauge needle will be positioned in the  pre-infusion zone at the start of the extraction  indicating the machine is in low pressure pre- infusion mode. The low pressure pre-infusion  gradually increases water pressure to gently  expand grinds for an even extraction before  increasing to full pressure. Ideal Espresso Zone The gauge needle, when positioned anywhere  within the solid grey zone during extraction,  indicates the espresso has been extracted at  the ideal pressure. Under Extracted Zone The gauge needle, when positioned in the  lower zone during extraction, indicates the  espresso has been extracted with insufficient  pressure."
17,17,1,"This, the dial, the milk, the jug, extraction, the machine, the water, the  ground coffee","17 This occurs when the water flow through the  ground coffee is too fast and results in an  under extracted espresso that is watery and  lacks crema and flavor. Causes for under extraction include the grind  being too coarse and/or insufficient coffee in  the filter basket and/or under tamping. Over Extracted Zone The gauge needle, when positioned in the  upper zone during extraction, indicates the  espresso has been extracted with too much  pressure. This occurs when the water flow through the  ground coffee is too slow and results in an over  extracted espresso that is very dark and bitter  with a mottled and uneven crema.  Causes for over extraction include the grind  being too fine and/or too much ground coffee  in the filter basket and/or over tamping. USING THE STEAM/HOT WATER DIAL Steam  •	 Position the steam wand tip over the drip tray.  •	 Turn the STEAM/HOT WATER dial to the  STEAM position. The STEAM/HOT WATER  light will flash to indicate the machine is  heating to create steam. During this time,  condensed water may purge from the steam  wand. This is normal. NOTE When the machine creates steam, a pumping  noise can be heard. This is the normal opera- tion of the 15 bar Italian pump. •	 When the STEAM/HOT WATER light stops  flashing the steam wand is ready for use. •	 Before inserting the wand into the milk,  pause the steam by returning the dial back to  the STANDBY position. Then within  8 seconds, insert the steam wand tip ¼–¾”  (1–2cm) below the surface of the milk, close to  the right hand side of the jug at the 3 o’clock  position and quickly turn the dial back to the  STEAM position. Pausing the steam avoids  the milk splashing out of the jug (this pause  function lasts for 8 seconds only). •	 Once the milk is at the correct temperature  (140–149°F or 60–65°C) and the jug is hot  to touch, return the dial to the STANDBY  position BEFORE removing the jug. •	 For more tips on milk texturing, refer to  ‘Texturing Milk’, page 21. NOTE After 5 minutes of continuous steaming, the  machine will automatically disable the steam  function. The STEAM/HOT WATER light will  flash. When this occurs return the dial to the  STANDBY position. Hot Water •	 Turn the STEAM/HOT WATER dial to  the HOT WATER position. The STEAM/ HOT WATER light will flash to indicate the  machine is heating to create hot water.  •	 When the STEAM/HOT WATER light stops  flashing the hot water is up to temperature.  Hot water will pour from the hot water outlet  and can be used for making Americanos and   pre-heating cups. •	 To stop the hot water, return the dial to the  STANDBY position. AUTO PURGE Immediately after the espresso, hot water and  steam functions, the machine will purge water  into the drip tray. This ensures the thermocoil  is at the optimal temperature."
18,18,1,"the machine, Advanced Temperature Mode, The machine, the POWER button, AUTO OFF MODE, the PROGRAM button, 5 seconds, 18 TIPS","18 TIPS Ensure the drip tray is firmly pushed in  place and emptied whenever the Empty Me!  indicator is displayed.  SLEEP & AUTO OFF MODE  The machine automatically switches to  SLEEP MODE after 1 hour. During this time,  the POWER button light will flash slowly.  After 3 hours, the machine will switch to  AUTO OFF MODE.  To re-activate the machine, press any button  except for the POWER button. The POWER  button light will flash while the machine re- heats. A pumping sound will be heard. This is  normal. When the machine has reached the  correct operating temperature, the POWER  button light will stop flashing and all button  lights on the control panel will illuminate. ADVANCED TEMPERATURE MODE Adjusting Water Temperature Different beans require a different water  temperature to extract their optimum flavor.  The Barista Express™ allows you to adjust  water temperature ±4°F in 2°F increments  from the default temperature. To enter Advanced Temperature Mode: 1.	 Press the POWER button to switch the  machine off.  2.	 Press & hold the PROGRAM button, then  press the POWER button. The machine  will beep once. The illuminated button will  indicate the current temperature selected.  To adjust the water temperature, press one  of the following buttons within 5 seconds  of entering Advanced Temperature Mode.  The machine will beep twice to confirm  the change. If no buttons are pressed  within 5 seconds after entering Advanced  Temperature Mode, no change will be made  & the machine will return to STANDBY  mode. PROGRAM POWER PRESS & HOLD Default Temperature setting:   In Advanced Temperature Mode,  press the PROGRAM button. PROGRAM Increase Water Temperature +2˚F:  In Advanced Temperature Mode, press the  1 CUP button. PROGRAM Increase Water Temperature +4˚F:  In Advanced Temperature Mode,  press the 2 CUP button. PROGRAM"
19,19,1,"filter basket, Dual Wall filter baskets, Advanced Temperature Mode, your cup, hot water, Single Wall filter baskets, you, 19 Decrease Water Temperature -2˚F","19 Decrease Water Temperature -2˚F:   In Advanced Temperature Mode,   press the FILTER SIZE button. SINGLE FILTER SIZE DOUBLE PROGRAM POWER Decrease Water Temperature -4˚F:   In Advanced Temperature Mode,   press the POWER button. SINGLE FILTER SIZE DOUBLE PROGRAM POWER PRE-HEATING Heating your cup or glass A warm cup will help maintain the coffee’s  optimal temperature. Pre-heat your cup by  rinsing with hot water from the hot water outlet  and place on the cup warming tray. Heating the portafilter and filter basket A cold portafilter and filter basket can  reduce the extraction temperature enough to  significantly affect the quality of your espresso.  Always ensure the portafilter and filter basket  are pre-heated with hot water from the hot  water outlet before initial use. NOTE Always wipe the portafilter and filter basket  dry before dosing with ground coffee as  moisture can encourage ‘channeling’ where  waterby-passes the ground coffee during  extraction. SELECTING A FILTER BASKET Single Wall Filter Baskets Use Single Wall filter baskets if grinding fresh  whole coffee beans.  Single Wall filter baskets allow you to  experiment with grind, dose and tamp to create  a more balanced espresso. 1 CUP 2 CUP Dual Wall Filter Baskets Use Dual Wall filter baskets if using   pre-ground coffee. Dual Wall filter baskets regulate the pressure  and help to optimize the extraction regardless  of the grind, dose, tamp pressure or freshness. 1 CUP 2 CUP NOTE Regardless of whether you use Single Wall or  Dual Wall filter baskets, use the 1 CUP basket  when brewing a single cup and the 2 CUP  basket when brewing two cups or a stronger  single cup or mug."
20,20,1,"the filter basket, the espresso, the grind, this, approx, the provided coffee scoop, you, the water","20 NOTE You will need to adjust the grind amount and  size if switching from a single basket to a  double basket, or vice versa. The provided filter baskets are designed for: 1 CUP basket = approx. 8–10g.  If using pre-ground coffee, this is approx.   2 level scoops of the provided coffee scoop. 2 CUP basket = approx. 15–18g.  If using pre-ground coffee, this is approx.   3 level scoops of the provided coffee scoop. If using freshly ground coffee, this is approx.  4 level scoops of the provided coffee scoop.  The reason for this difference is that pre- ground coffee is often coarser and hence  occupies more volume than coffee that is more  finely ground. NOTE You may need to experiment with how much  coffee is inserted into the filter basket or how  long the grinder needs to run to achieve the  correct dose. For example, when using a finer  espresso grind with the Single Wall filter  baskets, you may need to increase the grind  amount to ensure the filter basket is correctly  dosed. THE GRIND If grinding coffee beans, the grind size should  be fine but not too fine. The grind size will  affect the rate at which the water flows through  the ground coffee in the filter basket and the  taste of the espresso.  If the grind is too fine (looks like powder and  feels like flour when rubbed between fingers),  the water will not flow through the coffee even  when under pressure. The resulting espresso  will be OVER EXTRACTED, dark in color and  bitter in flavor. If the grind is too coarse the water will flow  through the ground coffee in the filter basket  too quickly. The resulting espresso will be  UNDER EXTRACTED and lacking in color  and flavor. COFFEE DOSE AND TAMPING Follow the instructions for: 1.	 Setting the Grind Size, page 13. 2.	 Setting the Grind Amount, page 13. 3.	 Selecting the Filter Size, page 13. 4.	 Automatic Dosing or Manual Dosing,  page 13–14. 5.	 Tamping the Ground Coffee, page 14. 6.	 Trimming the Dose, page 14. PURGING THE GROUP HEAD Before placing the portafilter into the group  head, run a short flow of water through the  group head by pressing the 1 CUP button.  This will purge any ground coffee residue from  the group head and stabilize the temperature  prior to extraction. INSERTING THE PORTAFILTER Place the portafilter underneath the group head  so that the handle is aligned with the INSERT  position. Insert the portafilter into the group  head and rotate the handle towards the center  until resistance is felt. EXTRACTING ESPRESSO •	 Place pre-warmed cup(s) beneath the  portafilter and press the 1 CUP or 2 CUP  button for the desired volume.  •	 Due to pre-infusion time, the espresso will  not start to flow immediately.  •	 As a guide, the espresso will start to flow after  4–7 seconds (infusion time) and should be  the consistency of dripping honey. •	 If the espresso starts to flow after less than  3 seconds you have either under dosed the  filter basket and/or the grind is too coarse.  This is an UNDER-EXTRACTED shot. •	 If the espresso starts to drip but doesn’t flow  after 8 seconds, then you have either over  dosed the filter basket and/or  the grind is too  fine. This is an OVER-EXTRACTED shot."
